  205  Gx  0 40.4  +41 41 s  And  17.4   8.0  vB, vL, mE 165deg , vgvmbM; = M110                
  221  Gx  0 42.7  +40 52 s  And   7.6   8.2  ! vvB, L, R, psmbMN; = M32                        
  224  Gx  0 42.7  +41 16 s  And 178.    3.5  !!! eeB, eL, vmE (Andromeda); = M31               
  253  Gx  0 47.6  -25 17 s  Scl  25.1   7.1  !! vvB, vvL, vmE 54deg , gbM                      
  581  OC  1 33.2  +60 42 s  Cas   6.    7.4  Cl, pL, B, R, Ri, st 10...11; = M103              
  598  Gx  1 33.9  +30 39 s  Tri  62.    5.7  ! eB, eL, R, vgbMN; = M33                         
  628  Gx  1 36.7  +15 47 s  Psc  10.2   9.2  glob. cl. , F, vL, R, vg, psmbM, rr; = M74        
  650  Pl  1 42.3  +51 34 s  Per   4.8  12. p vB, p of Dneb; = M76                              
  884  OC  2 22.4  +57 07 s  Per  30.    4. p ! Cl, vL, vRi, ruby * M                           
  896  Nb  2 24.8  +61 54 s  Cas  27.         eF, pL, iF                                        
 1039  OC  2 42.0  +42 47 s  Per  35.    5.2  Cl, B, vL, lC, sc st 9; = M34                     
 1068  Gx  2 42.7  -00 01 s  Cet   6.9   8.8  vB, pL, iR, sbMrrN; = M77                         
 1904  Gb  5 24.5  -24 33 s  Lep   8.7   8.0  glob. cl. , pL, eRi, eC, rrr; = M79               
 1912  OC  5 28.7  +35 50 s  Aur  21.    6.4  Cl, B, vL, vRi, iF, st L & S; = M38               
 1952  Nb  5 34.5  +22 01 s  Tau   6.    8.4  vB, vL, E 135deg +/- , vglbM, r; = M1             
 1960  OC  5 36.1  +34 08 s  Aur  12.    6.0  Cl, B, vL, vRi, lC, st 9...11 sc; = M36           
 1976  Nb  5 35.4  -05 27 s  Ori  66.    4.   !!! theta1 Ori and the great neb; = M42           
 1982  Nb  5 35.6  -05 16 s  Ori  20.    9.   ! vB, vL, R with tail, mbM *8-9; = M43            
 2068  Nb  5 46.7  +00 03 s  Ori   8.    8.   B, L, wisp, gmbN, 3 st inv, r; = M78              
 2099  OC  5 52.4  +32 33 s  Aur  24.    5.6  Cl, Ri, pCM, st L & S; = M37                      
 2168  OC  6 08.9  +24 20 s  Gem  28.    5.1  Cl, vL, cRi, pC, st 9...16; = M35                 
 2237  Nb  6 30.3  +05 03 d  Mon              pB, vvL, dif, part of eL nebs ring ar 2239        
 2287  OC  6 47.0  -20 44 s  CMa  38.    4.5  Cl, vL, B, lC, st 8...; = M41                     
 2323  OC  7 03.2  -08 20 s  Mon  16.    5.9  ! Cl, vL, Ri, pC, E, st 12...16; = M50            
 2392  Pl  7 29.2  +20 55 s  Gem   0.7  10. p B, S, R, *9 M, *8 nf 100"                         
 2422  OC  7 36.6  -14 30 s  Pup  30.    4.4  Cl, B, vL, pRi, st L and S; = M47                 
 2437  OC  7 41.8  -14 49 s  Pup  27.    6.1  !, Cl, vB, vRi, vL, inv PN ; = M46                
 2438  Pl  7 41.8  -14 44 s  Pup   1.1  10. p PN , pB, pS, vlE, r, 3s .75 d                     
 2440  Pl  7 41.9  -18 13 s  Pup   0.5  11. p PN , cB, not v well def                           
 2447  OC  7 44.6  -23 52 s  Pup  22.    6.2  Cl, L, pRi, lC, st 8...13; = M93                  
 2548  OC  8 13.8  -05 48 s  Hya  54.    5.8  Cl, vL, pRi, pmC, st 9...13; = M48                
 2632  OC  8 40.1  +19 59 s  Cnc  95.    3.1  Praesepe; = M44                                   
 2682  OC  8 50.4  +11 49 s  Cnc  30.    6.9  ! Cl, vB, vL, eRi, lC, st 10...15; = M67          
 3031  Gx  9 55.6  +69 04 s  UMa  25.7   6.9  ! eB, eL, E 156deg , gsvmbMBN; = M81              
 3034  Gx  9 55.8  +69 41 s  UMa  11.2   8.4  vB, vL, vmE (ray); = M82                          
 3227  Gx 10 23.5  +19 52 s  Leo   5.6  10.8  pB, cL, R, D with 3226                            
 3242  Pl 10 24.8  -18 38 s  Hya  20.8   9. p ! PN , vB, lE 147deg , 45" d, blue                
 3351  Gx 10 44.0  +11 42 s  Leo   7.4   9.7  B, L, R, pgmbMN; = M95                            
 3368  Gx 10 46.8  +11 49 s  Leo   7.1   9.2  vB, vL, lE, vsvmbM, r; = M96                      
 3379  Gx 10 47.8  +12 35 s  Leo   4.5   9.3  vB, cL, R, psbM, r; = M105                        
 3556  Gx 11 11.5  +55 40 s  UMa   8.3  10.1  cB, vL, vmE 79deg , pbM, r; = M108                
 3587  Pl 11 14.8  +55 01 s  UMa   3.2  11.2  !!, PN , vB, vL, R, vvg, vsbM, 150" d; = M97      
 3623  Gx 11 18.9  +13 05 s  Leo  10.0   9.3  B, vL, mE 165deg +/- , gbMBN; = M65               
 3627  Gx 11 20.2  +12 59 s  Leo   8.7   9.0  B, vL, mE 150deg , mbM, 2 st np; = M66            
 3992  Gx 11 57.6  +53 23 s  UMa   7.6   9.8  cB, vL, pmE, sbMBrN; = M109                       
 4192  Gx 12 13.8  +14 54 s  Com   9.5  10.1  B, vL, vmE 152deg , vsvmbM; = M98                 
 4254  Gx 12 18.8  +14 25 s  Com   5.4   9.8  !! B, L, R, gbM, r, 3-branched spiral; = M99      
 4258  Gx 12 19.0  +47 18 s  CVn  18.2   8.3  vB, vL, vmE 0deg , sbMBN; = M106                  
 4303  Gx 12 21.9  +04 28 s  Vir   6.0   9.7  vB, vL, vsbM*, biN; = M61                         
 4321  Gx 12 22.9  +15 49 s  Com   6.9   9.4  !! pF, vL, R, vg, psbMrN, 2-br spir; = M100       
 4374  Gx 12 25.1  +12 53 s  Vir   5.0   9.3  vB, pL, R, psbM, r; = M84                         
 4382  Gx 12 25.4  +18 11 s  Com   7.1   9.2  vB, pL, R, bM, * np; = M85                        
 4406  Gx 12 26.2  +12 57 s  Vir   7.4   9.2  vB, L, R, gbMN, r; = M86                          
 4472  Gx 12 29.8  +08 00 s  Vir   8.9   8.4  vB, L, R, mbM, r; = M49                           
 4486  Gx 12 30.8  +12 24 s  Vir   7.2   8.6  vB, vL, R, mbM, 3rd of 3; = M87                   
 4501  Gx 12 32.0  +14 25 s  Com   6.9   9.5  B, vL, vmE; = M88                                 
 4548  Gx 12 35.4  +14 30 s  Com   5.4  10.2  B, L, lE, lbM; = M91                              
 4552  Gx 12 35.7  +12 33 s  Vir   4.2   9.8  pB, pS, R, gmbM; = M89                            
 4564  Gx 12 36.4  +11 26 s  Vir   3.1  11.1  pB, S, lE, psbM                                   
 4569  Gx 12 36.8  +13 10 s  Vir   9.5   9.5  pL, bMN; = M90                                    
 4579  Gx 12 37.7  +11 49 s  Vir   5.4   9.8  B, L, iR, vmbM, r; = M58                          
 4590  Gb 12 39.5  -26 45 s  Hya  12.0   8.2  glob. cl. , L, eRi, vC, iR, rrr, st 12; = M68     
 4594  Gx 12 40.0  -11 37 s  Vir   8.9   8.3  !, vB, vL, eE 92deg , vsmbMN; = M104              
 4621  Gx 12 42.0  +11 39 s  Vir   5.1   9.8  B, pL, lE, vsvmbM, 2 st p; = M59                  
 4649  Gx 12 43.7  +11 33 s  Vir   7.2   8.8  vB, pL, R, f of Dneb; = M60                       
